c   rho   tau   delta   chisquare norm
3   2.2   0   0   11.1858
3   2.2   0   0.1   11.4233
3   2.2   0   0.5   13.3755
3   2.2   1   0   11.155
3   2.2   1   0.1   11.3851
3   2.2   1   0.5   13.2912
3   2.2   2   0   11.1261
3   2.2   2   0.1   11.3488
3   2.2   2   0.5   13.2096
3   2.2   3   0   11.099
3   2.2   3   0.1   11.3145
3   2.2   3   0.5   13.1306
3   2.3   0   0   11.4158
3   2.3   0   0.1   11.7334
3   2.3   0   0.5   14.212
3   2.3   1   0   11.3779
3   2.3   1   0.1   11.6867
3   2.3   1   0.5   14.1144
3   2.3   2   0   11.342
3   2.3   2   0.1   11.6421
3   2.3   2   0.5   14.0197
3   2.3   3   0   11.308
3   2.3   3   0.1   11.5996
3   2.3   3   0.5   13.9276
3   2.4   0   0   11.7259
3   2.4   0   0.1   12.1412
3   2.4   0   0.5   15.2222
3   2.4   1   0   11.6798
3   2.4   1   0.1   12.0849
3   2.4   1   0.5   15.1116
3   2.4   2   0   11.6357
3   2.4   2   0.1   12.0307
3   2.4   2   0.5   15.0038
3   2.4   3   0   11.5937
3   2.4   3   0.1   11.9788
3   2.4   3   0.5   14.8988
3   2.5   0   0   12.1325
3   2.5   0   0.1   12.6645
3   2.5   0   0.5   16.4161
3   2.5   1   0   12.0769
3   2.5   1   0.1   12.5974
3   2.5   1   0.5   16.2931
3   2.5   2   0   12.0236
3   2.5   2   0.1   12.5327
3   2.5   2   0.5   16.1728
3   2.5   3   0   11.9724
3   2.5   3   0.1   12.4704
3   2.5   3   0.5   16.0553
6   2.2   0   0   4.4025
6   2.2   0   0.1   4.63318
6   2.2   0   0.5   6.48084
6   2.2   1   0   4.37502
6   2.2   1   0.1   4.60057
6   2.2   1   0.5   6.41237
6   2.2   2   0   4.34911
6   2.2   2   0.1   4.56962
6   2.2   2   0.5   6.34613
6   2.2   3   0   4.32471
6   2.2   3   0.1   4.54027
6   2.2   3   0.5   6.28208
6   2.3   0   0   4.64997
6   2.3   0   0.1   4.95169
6   2.3   0   0.5   7.31223
6   2.3   1   0   4.61775
6   2.3   1   0.1   4.91313
6   2.3   1   0.5   7.23279
6   2.3   2   0   4.58717
6   2.3   2   0.1   4.87631
6   2.3   2   0.5   7.15564
6   2.3   3   0   4.55817
6   2.3   3   0.1   4.84119
6   2.3   3   0.5   7.08075
6   2.4   0   0   4.96906
6   2.4   0   0.1   5.36021
6   2.4   0   0.5   8.32459
6   2.4   1   0   4.93107
6   2.4   1   0.1   5.31455
6   2.4   1   0.5   8.23408
6   2.4   2   0   4.89479
6   2.4   2   0.1   5.27074
6   2.4   2   0.5   8.1459
6   2.4   3   0   4.86019
6   2.4   3   0.1   5.22874
6   2.4   3   0.5   8.06
6   2.5   0   0   5.37663
6   2.5   0   0.1   5.87812
6   2.5   0   0.5   9.53139
6   2.5   1   0   5.33177
6   2.5   1   0.1   5.82429
6   2.5   1   0.5   9.43022
6   2.5   2   0   5.28873
6   2.5   2   0.1   5.77242
6   2.5   2   0.5   9.33139
6   2.5   3   0   5.24746
6   2.5   3   0.1   5.72244
6   2.5   3   0.5   9.23485
9   2.2   0   0   2.80987
9   2.2   0   0.1   2.79406
9   2.2   0   0.5   3.51576
9   2.2   1   0   2.79638
9   2.2   1   0.1   2.77756
9   2.2   1   0.5   3.46941
9   2.2   2   0   2.7841
9   2.2   2   0.1   2.76234
9   2.2   2   0.5   3.42493
9   2.2   3   0   2.77299
9   2.2   3   0.1   2.74837
9   2.2   3   0.5   3.38224
9   2.3   0   0   2.79085
9   2.3   0   0.1   2.82908
9   2.3   0   0.5   4.06217
9   2.3   1   0   2.77437
9   2.3   1   0.1   2.80821
9   2.3   1   0.5   4.00497
9   2.3   2   0   2.75916
9   2.3   2   0.1   2.78872
9   2.3   2   0.5   3.94971
9   2.3   3   0   2.74518
9   2.3   3   0.1   2.77055
9   2.3   3   0.5   3.89633
9   2.4   0   0   2.8299
9   2.4   0   0.1   2.94506
9   2.4   0   0.5   4.81427
9   2.4   1   0   2.80919
9   2.4   1   0.1   2.91836
9   2.4   1   0.5   4.74598
9   2.4   2   0   2.78983
9   2.4   2   0.1   2.89313
9   2.4   2   0.5   4.67966
9   2.4   3   0   2.77177
9   2.4   3   0.1   2.86934
9   2.4   3   0.5   4.61528
9   2.5   0   0   2.94859
9   2.5   0   0.1   3.16798
9   2.5   0   0.5   5.79121
9   2.5   1   0   2.92225
9   2.5   1   0.1   3.13399
9   2.5   1   0.5   5.7122
9   2.5   2   0   2.89736
9   2.5   2   0.1   3.10158
9   2.5   2   0.5   5.63518
9   2.5   3   0   2.87387
9   2.5   3   0.1   3.07072
9   2.5   3   0.5   5.56012
