c   rho   tau   delta   chisquare norm
3   2.2   0   0   14.1903
3   2.2   0   0.1   14.4887
3   2.2   0   0.5   19.9123
3   2.2   1   0   14.065
3   2.2   1   0.1   14.3632
3   2.2   1   0.5   19.7387
3   2.2   2   0   13.9519
3   2.2   2   0.1   14.2489
3   2.2   2   0.5   19.5729
3   2.2   3   0   13.8506
3   2.2   3   0.1   14.1455
3   2.2   3   0.5   19.4148
3   2.3   0   0   14.4146
3   2.3   0   0.1   14.9533
3   2.3   0   0.5   23.9303
3   2.3   1   0   14.2937
3   2.3   1   0.1   14.8298
3   2.3   1   0.5   23.7218
3   2.3   2   0   14.1838
3   2.3   2   0.1   14.7162
3   2.3   2   0.5   23.5206
3   2.3   3   0   14.0845
3   2.3   3   0.1   14.6125
3   2.3   3   0.5   23.3265
3   2.4   0   0   14.8861
3   2.4   0   0.1   15.8055
3   2.4   0   0.5   30.1068
3   2.4   1   0   14.7671
3   2.4   1   0.1   15.6798
3   2.4   1   0.5   29.8495
3   2.4   2   0   14.658
3   2.4   2   0.1   15.563
3   2.4   2   0.5   29.5993
3   2.4   3   0   14.5584
3   2.4   3   0.1   15.4549
3   2.4   3   0.5   29.3562
3   2.5   0   0   15.7461
3   2.5   0   0.1   17.2789
3   2.5   0   0.5   38.5991
3   2.5   1   0   15.625
3   2.5   1   0.1   17.1444
3   2.5   1   0.5   38.2893
3   2.5   2   0   15.5127
3   2.5   2   0.1   17.0178
3   2.5   2   0.5   37.9865
3   2.5   3   0   15.4088
3   2.5   3   0.1   16.8989
3   2.5   3   0.5   37.6907
6   2.2   0   0   4.90201
6   2.2   0   0.1   5.17776
6   2.2   0   0.5   9.33512
6   2.2   1   0   4.84445
6   2.2   1   0.1   5.11929
6   2.2   1   0.5   9.23649
6   2.2   2   0   4.79836
6   2.2   2   0.1   5.07145
6   2.2   2   0.5   9.14521
6   2.2   3   0   4.76347
6   2.2   3   0.1   5.03396
6   2.2   3   0.5   9.06111
6   2.3   0   0   5.16743
6   2.3   0   0.1   5.60962
6   2.3   0   0.5   12.621
6   2.3   1   0   5.11271
6   2.3   1   0.1   5.55226
6   2.3   1   0.5   12.4905
6   2.3   2   0   5.0684
6   2.3   2   0.1   5.50443
6   2.3   2   0.5   12.3668
6   2.3   3   0   5.03424
6   2.3   3   0.1   5.46588
6   2.3   3   0.5   12.2498
6   2.4   0   0   5.60756
6   2.4   0   0.1   6.3238
6   2.4   0   0.5   17.9606
6   2.4   1   0   5.55394
6   2.4   1   0.1   6.26445
6   2.4   1   0.5   17.7815
6   2.4   2   0   5.50964
6   2.4   2   0.1   6.21356
6   2.4   2   0.5   17.6091
6   2.4   3   0   5.47443
6   2.4   3   0.1   6.17091
6   2.4   3   0.5   17.4433
6   2.5   0   0   6.33273
6   2.5   0   0.1   7.51416
6   2.5   0   0.5   25.7411
6   2.5   1   0   6.27709
6   2.5   1   0.1   7.44736
6   2.5   1   0.5   25.5051
6   2.5   2   0   6.22971
6   2.5   2   0.1   7.38801
6   2.5   2   0.5   25.2758
6   2.5   3   0   6.1904
6   2.5   3   0.1   7.33595
6   2.5   3   0.5   25.0531
9   2.2   0   0   2.31434
9   2.2   0   0.1   2.32447
9   2.2   0   0.5   4.13122
9   2.2   1   0   2.28198
9   2.2   1   0.1   2.29201
9   2.2   1   0.5   4.07393
9   2.2   2   0   2.2607
9   2.2   2   0.1   2.26983
9   2.2   2   0.5   4.02365
9   2.2   3   0   2.25024
9   2.2   3   0.1   2.2577
9   2.2   3   0.5   3.98023
9   2.3   0   0   2.30749
9   2.3   0   0.1   2.39518
9   2.3   0   0.5   6.26952
9   2.3   1   0   2.27828
9   2.3   1   0.1   2.36493
9   2.3   1   0.5   6.18694
9   2.3   2   0   2.25917
9   2.3   2   0.1   2.34393
9   2.3   2   0.5   6.11082
9   2.3   3   0   2.2499
9   2.3   3   0.1   2.33195
9   2.3   3   0.5   6.041
9   2.4   0   0   2.38568
9   2.4   0   0.1   2.6255
9   2.4   0   0.5   10.3115
9   2.4   1   0   2.35867
9   2.4   1   0.1   2.59548
9   2.4   1   0.5   10.1845
9   2.4   2   0   2.34071
9   2.4   2   0.1   2.57367
9   2.4   2   0.5   10.0638
9   2.4   3   0   2.3316
9   2.4   3   0.1   2.55986
9   2.4   3   0.5   9.94933
9   2.5   0   0   2.62756
9   2.5   0   0.1   3.16619
9   2.5   0   0.5   16.916
9   2.5   1   0   2.60072
9   2.5   1   0.1   3.13241
9   2.5   1   0.5   16.7308
9   2.5   2   0   2.58191
9   2.5   2   0.1   3.10584
9   2.5   2   0.5   16.552
9   2.5   3   0   2.57092
9   2.5   3   0.1   3.0863
9   2.5   3   0.5   16.3795
